ref,title,author,lastRunTime,totalVotes
ranjoranjan/kernel83f071aec1,kernel83f071aec1,shishir ranjan,2019-03-15 01:49:23.270000,72
silverstone1903/xgboost-baseline,XGBoost Baseline ,silverstone,2019-03-03 11:27:57.190000,70
scirpus/weird-data-structure,Weird Data Structure,Scirpus,2019-02-20 13:00:52.323000,70
vishesh17/keras-nn-with-scaling-and-regularization,Keras NN with scaling and regularization,VisheshShrivastav,2019-02-19 22:48:00.550000,70
ashishpatel26/feature-selection-pca-catboost,Feature Selection +  PCA + Catboost,NowYSM,2019-02-20 08:30:46.710000,66
roydatascience/blender-of-0-901-solutions,Blender of 0.901 solutions,Ashish Gupta,2019-04-08 13:57:01.993000,65
sandeepkumar121995/santander-customer-transaction-prediction,Santander Customer Transaction Prediction,Sandeep Kumar,2019-04-08 11:19:28.083000,63
mhviraf/santander-compact-solution-14-lines-will-do,Santander Compact++ Solution (14 lines will do),Massoud Hosseinali,2019-03-15 00:36:47,63
konradb/lgb-parameter-tuning,LGB + parameter tuning,Konrad Banachewicz,2019-02-18 15:29:32.377000,63
sungdoo/sctp-working-lgb,SCTP-working(LGB),sungdoo choi,2019-02-17 17:48:27.340000,63
naraque/red-neuronal-keras,Red Neuronal Keras,Nicolas Araque,2019-05-13 14:15:12.133000,62
kwonyoung234/too-many-names-of-params-in-lgbm,TOO MANY NAMES OF PARAMS IN LGBM!!,Jerry Kwon,2019-03-03 10:43:23.927000,62
psystat/simple-eda-logistic-regression-speedglm-with-r,"Simple EDA, Logistic Regression(speedglm) with R",psystat,2019-04-08 05:16:25.247000,62
