ref,title,author,lastRunTime,totalVotes
ktakita/team-merged-ensemble-fixednewmodelsexp029nonmean,team-merged ensemble FixedNewModelsExp029nonmean,K.T.,2022-01-13 14:27:24.517000,113
heyytanay/pytorch-trainer-fp16-mixup-kfolds-w-b,PyTorch - Trainer + fp16 + Mixup + Kfolds + W&B 🎯,Tanay Mehta,2021-12-10 04:17:26.533000,111
abhishek/optuna-xgboost-meta-features-only,optuna xgboost: meta features only,Abhishek Thakur,2021-09-25 09:13:39.077000,111
debarshichanda/pytorch-w-b-pawpularity-training,[Pytorch + W&B] Pawpularity Training 🔥,Debarshi Chanda,2021-10-22 22:30:56.293000,111
heyytanay/train-baseline-torch-lightning-gpu-tpu-w-b,[🐾Train Baseline] Torch Lightning + GPU&TPU + W&B,Tanay Mehta,2021-10-09 05:31:01.487000,109
awsaf49/tf-petfinder-image-tpu-train,[TF] PetFinder: Image [TPU][Train] 🐶,Awsaf,2021-10-21 02:51:37.663000,101
schulta/petfinder-identify-duplicates-and-share-findings,PetFinder | Identify Duplicates and Share Findings,schulta,2021-10-15 05:19:45.710000,100
showeed/annoy-similar-images-edit2,[Annoy]Similar Images🐶🐶edit2,sho weed,2021-12-03 01:02:54.710000,91
matthieubritoantunes/convolutional-neural-network-for-image-regression,Convolutional Neural Network for Image Regression,antounes,2022-01-05 16:41:34.087000,83
calvchen/swin-transformer-224-meta,Swin-Transformer-224+Meta,Hao Chen,2022-02-01 22:20:49.383000,82
devkhant24/swin-transformer-efficientnet, Swin Transformer + EfficientNet,Dev Khant,2021-12-22 14:37:12.017000,77
pythonash/parallel-dnn-and-cnn-network-for-beginners,Parallel DNN and CNN network for beginners,pythonash,2022-01-11 01:36:30.113000,76
whxin1996/baseline-codes,baseline_codes,whxin,2021-10-26 12:55:57.750000,73
manabendrarout/pawpularity-score-starter-cnn-xgboost-infer,Pawpularity Score Starter CNN + XGBoost [Infer],Manav,2021-10-15 20:49:50.850000,73
ishandutta/pawpular-eda-understanding-model-w-b,🐾 Pawpular : EDA + Understanding + Model + W&B,Ishan Dutta,2021-10-25 07:22:53.060000,71
